Timestamp,Please confirm that you have read and understand the purpose of this survey.,Please confirm that you are aged 16 or over.,Please confirm that you agree to participate in this survey.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.,"On a scale of 1 to 5, with 1 being unnecessary to 5 being very important, how important do you think this feature would be to this app?",(Optional) Please provide a brief explanation on your answer above.
2020/10/21 12:07:47 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,4,,4,,4,,3,,3,,4,,3,,4,,4,
2020/10/21 12:10:34 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,This feature seems like the whole point of the app,3,,4,,3,,2,,4,,2,,1,"Users should not require an internet connection to check their prescription info, it doesn't help anything here",4,
2020/10/21 12:16:03 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,4,,5,,5,,4,,3,,2,,3,,4,,5,
2020/10/21 12:18:50 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,,5,,5,,4,,3,Less likely to be needed as individuals will likely have their own mobile phone and so their own copy of the app ,4,,3,,3,,3,
2020/10/21 12:23:44 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,,4,,5,,5,,4,,4,,3,,1,,3,
2020/10/21 12:26:12 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,4,I'm a pretty busy person and I have a bad habit of forgetting to take medication without some sort of prompt or reminder...,4,"Again, as a very busy person I'd like to know in advance when I need to get more medication.",5,"Again, planning this in advance would be useful (perhaps with a ""due date"" of when I need to order a repeat prescription?)",5,"You've read my mind here, this is precisely what I mentioned on the previous answer!",3,"Not very useful for me, but a lifesaver for other people",2,"Maybe, but the number of medications I take is pretty low so I don't really need this personally. I can definitely see a usecase though (e.g generating information in a more accessible format for visually impaired users)",2,"This could be useful, but it also seems very situational - if you're downloading a prescription management app, you're probably needing to take medication on a recurring basis.",2,"Could be useful for the multi-user suggestion (i.e for carers, a care home could use one account that's updated by many members of staff), but not major for me unless I lose a device or get a new one.",4,"Useful to identify gaps in medication, say when I'm explaining things to my doctor."
2020/10/21 12:33:46 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,,4,,5,,4,,4,,4,,4,,3,,4,
2020/10/21 12:42:02 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,,5,,5,,3,,5,,4,,2,,3,,3,
2020/10/21 1:56:54 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,,5,I forget how many tablets i have left a lot so very helpful ,4,,5,Good to keep routine in taking medication ,3,,5,,5,,4,,4,
2020/10/21 2:03:42 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,4,,4,,4,,4,,3,,3,,3,,4,,2,
2020/10/21 2:19:46 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,,5,,4,,2,,3,,3,,2,,4,,3,
2020/10/21 2:23:11 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,5,,5,,5,,4,,3,,4,,3,,3,,4,
2020/10/21 3:26:26 pm GMT,I confirm that I have read and understand the purpose of this survey,I am at least 16 years old.,I confirm that I agree to participation of this survey,4,"maybe instead of manually self input the time, there can be another button that records the current time so users can just press it right after they take their medication",4,,4,,4,,3,,3,,2,,2,,4,
